concurrency;count;command;date_time;used_mem;cached;buffer;swap
2;84;stop_command;2024-04-14_21-18-04;1963852;3047900;199896;1000444
2;85;load_command;2024-04-14_21-19-06;696784;3189204;200012;1000444
2;85;stop_command;2024-04-14_21-19-38;1975888;3047900;200136;1000444
2;86;stop_command;2024-04-14_21-21-12;1964332;3048028;200328;1000444
2;87;load_command;2024-04-14_21-22-14;695468;3458692;200436;1000444
2;87;stop_command;2024-04-14_21-22-47;1983812;3048028;200556;1000444
2;88;stop_command;2024-04-14_21-24-20;1972196;3048028;200748;1000444
2;89;load_command;2024-04-14_21-25-23;693072;3834560;200828;1000444
2;89;stop_command;2024-04-14_21-25-55;1975484;3048028;200900;1000444
2;90;stop_command;2024-04-14_21-27-29;1966420;3048028;201100;1000444
2;91;stop_command;2024-04-14_21-29-02;1979364;3048156;201348;1000444
2;92;stop_command;2024-04-14_21-30-36;1977380;3048156;201548;1000444
2;93;stop_command;2024-04-14_21-32-10;1972852;3048156;201716;1000444
2;94;stop_command;2024-04-14_21-33-43;1985816;3048156;201916;1000444
2;95;stop_command;2024-04-14_21-35-17;1955432;3048180;202120;1000444
2;96;stop_command;2024-04-14_21-36-51;1961624;3048308;202264;1000444
2;97;stop_command;2024-04-14_21-38-24;1965304;3048308;202496;1000444
2;98;stop_command;2024-04-14_21-39-58;1971984;3048308;202720;1000444
2;99;stop_command;2024-04-14_21-41-32;1978948;3048312;202908;1000444
2;100;stop_command;2024-04-14_21-43-05;1973900;3048440;203108;1000444
4;1;load_command;2024-04-14_21-44-07;683080;3267484;203200;1000444
4;1;stop_command;2024-04-14_21-44-40;3268180;3048984;203428;1000444
4;2;stop_command;2024-04-14_21-46-14;3275868;3048984;203800;1000444
4;3;load_command;2024-04-14_21-47-17;702760;3382404;203960;1000444
4;3;stop_command;2024-04-14_21-47-49;3278168;3049116;204144;1000444
4;4;load_command;2024-04-14_21-48-52;719092;3931096;204328;1000444
4;4;stop_command;2024-04-14_21-49-24;3269576;3049116;204552;1000444
4;5;load_command;2024-04-14_21-50-27;695088;3071876;204720;1000444
4;5;stop_command;2024-04-14_21-50-59;3286848;3049240;204944;1000444
4;6;stop_command;2024-04-14_21-52-33;3281192;3049368;205284;1000444
4;7;stop_command;2024-04-14_21-54-07;3279624;3049368;205628;1000444
4;8;stop_command;2024-04-14_21-55-41;3273980;3049496;205968;1000444
4;9;stop_command;2024-04-14_21-57-15;3275280;3049508;206352;1000444
4;10;stop_command;2024-04-14_21-58-49;3282644;3049508;206756;1000444
4;11;stop_command;2024-04-14_22-00-23;3275292;3049644;207180;1000444
4;12;stop_command;2024-04-14_22-01-57;3269472;3049644;207528;1000444
4;13;stop_command;2024-04-14_22-03-31;3282224;3049644;207896;1000444
4;14;stop_command;2024-04-14_22-05-05;3272948;3049772;208208;1000444
4;15;load_command;2024-04-14_22-06-07;693452;3414912;208340;1000444
4;15;stop_command;2024-04-14_22-06-40;3292060;3049772;208512;1000444
4;16;stop_command;2024-04-14_22-08-14;3280492;3049900;208880;1000444
4;17;load_command;2024-04-14_22-09-16;703024;3155560;209008;1000444
4;17;stop_command;2024-04-14_22-09-49;3272360;3049972;209220;1000444
4;18;stop_command;2024-04-14_22-11-22;3281900;3050228;209624;1000444
4;19;stop_command;2024-04-14_22-12-56;3266796;3050228;210040;1000444
4;20;load_command;2024-04-14_22-13-59;700352;3292652;210256;1000444
4;20;stop_command;2024-04-14_22-14-31;3261892;3050228;210536;1000444
4;21;stop_command;2024-04-14_22-16-05;3288208;3050356;210940;1000444
4;22;stop_command;2024-04-14_22-17-39;3282104;3050356;211328;1000444
4;23;stop_command;2024-04-14_22-19-13;3298896;3050356;211756;1000444
4;24;stop_command;2024-04-14_22-20-47;3300500;3050484;212064;1000444
4;25;stop_command;2024-04-14_22-22-21;3284028;3050484;212460;1000444
4;26;stop_command;2024-04-14_22-23-55;3286960;3050612;212856;1000444
4;27;stop_command;2024-04-14_22-25-29;3278512;3050612;213280;1000444
4;28;stop_command;2024-04-14_22-27-03;3287564;3050612;213692;1000444
4;29;stop_command;2024-04-14_22-28-37;3287392;3050740;214016;1000444
4;30;stop_command;2024-04-14_22-30-11;3279828;3050740;214428;1000444
